Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"22 (84,6%)",ND
Cas confirmés en cours de suivi,"160 (78,8%)",ND
Nouveaux cas suspects,"27 (77,1%)",ND
Cas suspects en cours de suivi,"119 (100,0%)",ND
Résultats de laboratoire annoncés (dont positifs),71 (22),ND
Enfants séparés — crèche / communauté,0/45,ND
Accompagnants au CTE,258,ND
Personnels de première ligne (PPL),38,ND
Membres des ménages et communautés,44,ND
EDS appuyés (SMSPS),12,ND
