Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),7,33,41,0,1,82
Nouvelles alertes reçues,581,714,11,22,7,1 335
Total alertes du jour,588,747,52,22,8,1 417
Alertes investiguées,482,707,6,4,7,1 206
Taux d'investigation (24 h),"81,9%","94,7%","11,5%","18,2%","87,5%","85,1%"
Alertes validées — vivantes,168,54,2,2,7,233
Alertes validées — décédées (comm.),74,32,1,0,0,107
Total cas suspects du jour,242,86,3,2,7,340
