Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,66,4911,2 212,"45,0%","28/36 (77,8 %)"
Nord-Kivu,12,800,546,"68,3%","15/34 (44,1 %)"
Haut-Uélé,4,209,93,"44,5%","6/13 (46,1 %)"
Tshopo,0,19,8,"42,1%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,3,2,"66,7%","3/11(27,3%)"
Total,82,5 945,2 862,"48,1%","60/151 (39,7%)"
