Date,Provenance/ZS,Nombre échantillons,Natures d'échant Sang,Natures d'échant Swab,Reprévelement
23/05/2026,Bunia,25,20,5,0
23/05/2026,Bambu-mine,2,1,1,0
23/05/2026,Boga,1,1,0,0
23/05/2026,Nyakunde,5,5,0,0
23/05/2026,Rwampara,12,10,2,0
23/05/2026,Lita,1,1,0,0
23/05/2026,Logo,2,2,0,0
23/05/2026,Mongbwalu,22,18,4,0
TOTAL,TOTAL,70,58,12,0
