Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,43,4845,2 185,"45,1%","28/36 (77,8 %)"
Nord-Kivu,13,788,538,"68,3%","15/34 (44,1 %)"
Haut-Uélé,11,205,91,"44,4%","6/13 (46,1 %)"
Tshopo,2,19,8,"42,1%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,3,1,"33,3%","3/11(27,3%)"
Total,69,5 863,2 824,"48,2%","60/151 (39,7 %)"
