Indicateurs clés SMSPS,Ituri,Nord-Kivu,Sud-Kivu
Nouveaux cas confirmés pris en charge (SMSPS),6,4,0
Cas confirmés en cours de suivi,101,9,0
Nouveaux cas suspects,38,65,7
Cas suspects en cours de suivi,93,66,20
Résultats de laboratoire annoncés (dont positifs),21 (5),35 (4),2 (0)
Enfants séparés — crèche / communauté,9 / 0,1 / —,1 / 22
Accompagnants au CTE,69,44,15
Personnels de première ligne (PPL),20,35,0
Membres des ménages / communautés,24,48,0
EDS appuyés (SMSPS),5,6,0
