Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5065,2305,"45,5%",49,21,10,31
Adja,11,1,"9,1%","","","",0
Aru,8,6,"75,0%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,165,36,"21,8%",4,0,"",0
Boga,2,2,"100,0%","","","",0
Bunia,1407,441,"31,3%",10,4,"",4
Damas,28,9,"32,1%","","","",0
Drodro,14,7,"50,0%",1,1,"",1
Fataki,76,30,"39,5%","","","",0
Gethy,6,2,"33,3%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,32,12,"37,5%","","","",0
Komanda,87,59,"67,8%",9,8,"",8
Lita,220,119,"54,1%",2,0,"",0
Logo,11,5,"45,5%","","","",0
Lolwa,22,5,"22,7%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,36,21,"58,3%","","","",0
Mangala,257,133,"51,8%",11,6,"",6
Mongbwalu,612,286,"46,7%",2,1,"",1
Nia-Nia,216,113,"52,3%",1,0,"",0
Nizi,664,261,"39,3%",2,0,"",0
Nyankunde,124,35,"28,2%","","","",0
Rimba,10,4,"40,0%","","","",0
Rwampara,957,339,"35,4%",7,1,"",1
Tchomia,57,25,"43,9%","","","",0
A ventiler **,NA,339,NA,NA,NA,10,10
Nord-Kivu,868,589,"67,9%",32,21,2,23
Beni,141,102,"72,3%",3,2,"",2
Biena,1,1,"100,0%","","","",0
Butembo,174,131,"75,3%",9,6,1,7
Goma,1,0,"0,0%","","","",0
Kalunguta,16,7,"43,8%","","","",0
Katwa,404,268,"66,3%",14,10,1,11
Kyondo,16,12,"75,0%","","","",0
Lubero,2,2,"100,0%",1,1,"",1
Mabalako,5,4,"80,0%","","","",0
Manguredjipa,1,0,"0,0%","","","",0
Masereka,9,4,"44,4%","","","",0
Musienene,83,47,"56,6%",4,1,"",1
Mutwanga,2,2,"100,0%",1,1,"",1
Oicha,7,6,"85,7%","","","",0
Vuhovi,6,3,"50,0%","","","",0
Haut-Uélé,227,100,"44,1%",5,1,2,3
Boma Mangbetu,27,14,"51,9%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,81,33,"40,7%","","","",0
Pawa,37,22,"59,5%",4,1,2,3
Rungu,1,0,"0,0%","","","",0
Wamba,78,30,"38,5%",1,0,"",0
Tshopo,19,9,"47,4%",0,0,0,0
Bafwasende,2,0,"0,0%","","","",0
Kabondo,3,1,"33,3%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,9,5,"55,6%","","","",0
Mangobo,2,2,"100,0%","","","",0
Tshopo,1,0,"0,0%","","","",0
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",0
Ganga,2,2,"100,0%","","","",0
Total,6186,3007,"48,6%",86,43,14,57
