VARIABLES,TOTAL
Voyageurs passés par le PoE/PoC,13 221
Voyageurs screenés,13 075
Voyageurs ayant lavés les mains,12 005
Voyageurs sensibilisés sur la MVE,13 075
Contacts listés,0
Alertes remontées,0
