Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4845,2185,"45,1%",43,14,12,26
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,156,34,"21,8%",7,5,"",5
Boga,2,2,"100,0%","","","",0
Bunia,1347,424,"31,5%",11,3,"",3
Damas,27,9,"33,3%","","","",0
Drodro,13,6,"46,2%","","","",0
Fataki,74,30,"40,5%",1,0,"",0
Gethy,6,2,"33,3%",1,0,"",0
Kambala,2,0,"0,0%","","","",0
Kilo,32,12,"37,5%","","","",0
Komanda,69,46,"66,7%",4,4,"",4
Lita,208,111,"53,4%",4,0,"",0
Logo,11,5,"45,5%","","","",0
Lolwa,19,4,"21,1%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,33,19,"57,6%","","","",0
Mangala,213,114,"53,5%",1,0,"",0
Mongbwalu,606,284,"46,9%","","","",0
Nia-Nia,203,108,"53,2%",4,0,"",0
Nizi,640,256,"40,0%",4,2,"",2
Nyankunde,124,35,"28,2%","","","",0
Rimba,10,4,"40,0%","","","",0
Rwampara,935,336,"35,9%",5,0,0,0
Tchomia,56,25,"44,6%",1,0,"",0
A ventiler,NA,297,NA,NA,NA,12,12
Nord-Kivu,788,538,"68,3%",13,9,2,11
Beni,126,91,"72,2%",4,3,1,4
Biena,1,1,"100,0%","","","",0
Butembo,155,118,"76,1%",3,2,0,2
Goma,1,0,"0,0%","","","",0
Kalunguta,16,7,"43,8%","","","",0
Katwa,373,250,"67,0%",5,4,0,4
Kyondo,16,12,"75,0%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,3,2,"66,7%","","","",0
Manguredjipa,1,0,"0,0%","","","",0
Masereka,8,4,"50,0%",1,0,0,0
Musienene,74,43,"58,1%","","","",0
Mutwanga,1,1,"100,0%","","","",0
Oicha,7,6,"85,7%",0,0,1,1
Vuhovi,5,2,"40,0%","","","",0
Haut-Uélé,205,91,"44,4%",11,0,1,1
Boma Mangbetu,26,14,"53,8%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,79,33,"41,8%",1,0,1,1
Pawa,24,16,"66,7%",4,0,0,0
Rungu,1,0,"0,0%","","","",0
Wamba,72,27,"37,5%",6,0,0,0
Tshopo,19,8,"42,1%",2,0,0,0
Bafwasende,2,0,"0,0%",1,0,0,0
Kabondo,3,1,"33,3%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,9,4,"44,4%",1,0,0,0
Mangobo,2,2,"100,0%","","","",0
Tshopo,1,0,"0,0%","","","",""
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,3,1,"33,3%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",""
Ganga,1,0,"0,0%","","","",""
Total,5863,2824,"48,2%",69,23,15,38
