Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,3 761,1 620,"43,1%","28/36 (77,8 %)",57
Nord-Kivu,495,338,"68,3%","12/34 (35,3 %)",15
Haut-Uélé,113,47,"41,6%","6/13 (46,1 %)",15
Tshopo,9,5,"55,6%","6/23 (26,0 %)",0
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Total,4 381,2 011,"45,9%","53/140 (37,8 %)",87
