Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,95 % (57/60),100 % (18/18),"55,5 % (5/9)",100 % (7/7),64 % (7/11),60 % (12/20),"84,8 % (106/125)"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)",100 %,NA,35 % (7/20),64 % (7/11),ND,ND
Nombre de personnes passées aux PoE/PoC,144 215,87 429,7 567,7 305,13 022,4 140,263 678
% des voyageurs screenés,"97,7 %","98,0 %","98,0 %","99,0 %","96,0 %",ND,"97,8 %"
% des voyageurs ayant lavé les mains,"97,7 %","98,0 %","98,0 %","99,0 %","96,0 %",ND,"97,8 %"
% des voyageurs sensibilisés,"99,5 %","98,0 %",100 %,100 %,"99,0 %",ND,"99,0 %"
Nombre d’alertes notifiées,2,7,0,0,0,2,11
Nombre d’alertes vivantes validées (cas suspects),2,2,0,0,0,0,4
Nombre de corps sans vie interceptés ce jour,0,0,0,0,0,1,1
% des cas suspects transférés au CT/CTE,100 % (2/2),100 % (2/2),0 %,0 %,0 %,NA,100 % (4/4)
% des corps sans vie swabés/sécurisés,0 % (0/0),0 % (0/0),0 %,0 %,0 %,100 % (1/1),100 % (1/1)
% des cas suspects investigués dans 24 h,100 % (2/2),100 % (2/2),0 %,0 %,0 %,100 % (2/2),100 % (6/6)
