Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,241,329,18,588
Alertes investiguées,158,329,18,505
Taux d'investigation,"65,6%","100,0%","100,0%","85,9%"
Alertes validées Vivantes,67,41,3,111
Alertes validées Décédées,43,11,0,54
Total des cas suspects du jour,110,52,3,165
