INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,1% (54/55)","100,0% (14/14)","98,5% (68/69)"
Nombre de personnes passées aux PoE/PoC,95 558,63 827,159 385
% des voyageurs screenés,"96,8%","97,5%","97,1%"
% des voyageurs ayant lavé les mains,"94,2%","97,5%","95,5%"
% des voyageurs sensibilisés,"99,4%","97,5%","98,6%"
Nombre d’alertes notifiées,1,4,5
Nombre d’alertes vivantes validées,0,0,0
Nombre des corps sans vie interceptés ce jour,1,3,4
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"0,0%","0,0%","0,0%"
% des corps sans vie swabés,"100,0%","100,0%","100,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
