Province,Cas confirmés,Décès des confirmés,Létalité,ZS touchées,Nouveaux cas (24h)
Ituri,359,50,"13,9 %","17 / 36 (47,2 %)",18
Nord-Kivu,19,13,"68,4 %","7 / 34 (20,6 %)",0
Sud-Kivu,3,1,"33,3 %","1 / 34 (2,9 %)",0
Total,381,64,"16,8 %","25 / 104 (24,0 %)",18
