Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),10,79,5,94
Nouvelles Alertes,204,586,19,809
Total Alertes du jour,214,665,24,903
Alertes investiguées,214,507,23,744
Taux d'investigation,"100,0%","76,2%","95,8%","82,4%"
Alertes validées Vivantes,63,45,6,114
Alertes validées Décédées,34,6,0,40
Total des cas suspects du jour,97,51,6,154
