Indicateur,Valeur,Analyse
Échantillons collectés,65,Activité soutenue
Échantillons analysés,18,"27,7% des collectés"
Échantillons positifs,12,"Taux de positivité 66,6%"
Échantillons en cours d'analyse,47,Retard de capacité d'analyse
Échantillons positifs provenant de cas suspects décédés,6,Transmission avant décès confirmé
