Suivi des alertes,Report des alertes (20/05),Nouvelles alertes (21/05),Total des alertes du jour (21/05),Alertes vivants,Alertes décédés,Alertes investiguées,Alertes non investiguées,Alertes validées,Alertes invalidées,Cas suspects prélevés,Cas suspects non prélévés,Cas suspects isolés,Cas suspects non isolés
Bunia,4,39,43,40,3,41,2,41,0,17,24,41,0
Rwampara,6,20,26,19,7,14,12,14,0,12,2,12,0
Nyankunde,0,10,10,9,1,9,0,10,0,10,0,9,0
Mongbwalu,0,7,7,3,4,5,2,5,0,4,1,1,0
Bambu,0,0,0,0,0,0,0,0,0,0,0,0,0
Nizi,0,1,1,0,1,1,0,1,0,1,0,O,0
Lita,0,1,1,0,1,1,0,1,0,1,0,O,0
Fataki,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Logo,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aungba,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Rethy,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Komanda,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nyarambe,0,1,1,1,0,1,0,1,0,1,0,1,0
Aru,0,3,3,3,0,3,0,3,0,3,0,3,0
Drodro,0,1,1,1,0,1,0,1,0,1,0,1,0
Mambassa,0,1,1,1,0,1,0,1,0,1,0,1,0
Mangala,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Lolwa,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
