Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5164,2342,"45,4%",60,12,6,18
Adja,11,1,"9,1%","","","",0
Aru,8,6,"75,0%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,168,36,"21,4%",3,0,"",0
Boga,2,2,"100,0%","","","",0
Bunia,1444,447,"31,0%",31,5,"",5
Damas,28,9,"32,1%","","","",0
Drodro,14,7,"50,0%","","","",0
Fataki,77,30,"39,0%","","","",0
Gethy,6,2,"33,3%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,32,12,"37,5%","","","",0
Komanda,92,62,"67,4%","","","",0
Lita,225,121,"53,8%",1,0,"",0
Logo,11,5,"45,5%","","","",0
Lolwa,22,5,"22,7%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,36,21,"58,3%","","","",0
Mangala,271,138,"50,9%",8,4,"",4
Mongbwalu,616,288,"46,8%",1,1,"",1
Nia-Nia,218,113,"51,8%",2,0,"",0
Nizi,675,266,"39,4%",5,2,"",2
Nyankunde,124,35,"28,2%","","","",0
Rimba,11,4,"36,4%","","","",0
Rwampara,971,341,"35,1%",7,0,"",0
Tchomia,59,25,"42,4%",2,0,"",0
A ventiler,NA,351,NA,NA,NA,6,6
Nord-Kivu,913,614,"67,3%",25,11,2,13
Beni,151,109,"72,2%",5,3,1,4
Biena,1,1,"100,0%","","","",0
Butembo,186,134,"72,0%",6,0,"",0
Goma,1,0,"0,0%","","","",0
Kalunguta,16,7,"43,8%","","","",0
Katwa,416,278,"66,8%",8,7,1,8
Kyondo,16,12,"75,0%","","","",0
Lubero,4,3,"75,0%",1,0,"",0
Mabalako,7,5,"71,4%",1,0,"",0
Manguredjipa,2,1,"50,0%","","","",0
Masereka,12,5,"41,7%",1,0,"",0
Musienene,85,48,"56,5%",2,1,"",1
Mutwanga,2,2,"100,0%","","","",0
Oicha,8,6,"75,0%",1,0,"",0
Vuhovi,6,3,"50,0%","","","",0
Haut-Uélé,236,103,"43,6%",5,1,1,2
Boma Mangbetu,27,14,"51,9%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,86,35,"40,7%",1,1,"",1
Pawa,39,22,"56,4%",2,0,"",0
Rungu,2,1,"50,0%",1,0,1,1
Wamba,79,30,"38,0%",1,0,"",0
Tshopo,22,9,"40,9%",2,0,0,0
Bafwasende,2,0,"0,0%","","","",0
Kabondo,4,1,"25,0%",1,0,"",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,10,5,"50,0%",1,0,"",0
Mangobo,3,2,"66,7%","","","",0
Tshopo,1,0,"0,0%","","","",0
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",0
Ganga,2,2,"100,0%","","","",0
Total,6342,3072,"48,4%",92,24,9,33
