Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés (24h)
Ituri,518,80,"15,4%","17 sur 36 (47,2 %)",31
Nord-Kivu,29,20,"69,0%","7 sur 34 (20,6 %)",4
Sud-Kivu,3,1,"33,3%","1 sur 34 (2,9 %)",0
Total,550,101,"18,4%","25 sur 104 (24,0 %)",35
