Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,6 244,4 540,"72,7%"
Nord-Kivu,1 938*,1 387,"71,6%"
Sud-Kivu,96,96,"100,0%"
Total,8 278,6 023,"72,8%"
