Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,3 814,1 653,"43,3%","28/36 (77,8 %)",53
Nord-Kivu,510,354,"69,4%","12/34 (35,3 %)",15
Haut-Uélé,113,48,"42,5%","6/13 (46,1 %)",ND
Tshopo,9,5,"55,6%","6/23 (26,0 %)",0
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Total,4 449,2 061,"46,3%","53/140 (37,9 %)",68
