Indicateurs,Résultats
Proportion de PoC activés,"48,6% (17/35)"
Nombre des voyageurs passés,31 413
% des voyageurs screenés,"98,2%"
%des voyageurs ayant lavé le mains,"98,3%"
%des voyageurs sensibilisés,"97,1%"
Nombre d’alertes notifiées,3
Nombre d’alertes validées,3
% d’alertes investiguées ou corps sans vie prélevés dans 24h,0%
% de résultats disponible dans 24h,0%
Nombre d’alertes transférées au CT/CTE ou pour EDS,0
