Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"25 (96,2%)",2 (100%)
Cas confirmés en cours de suivi,"114 (89,1%)",1 (100 %)
Nouveaux cas suspects,"10 (19,6%)",6 (100 %)
Cas suspects en cours de suivi,"125 (78,1%)",21 (100 %)
Résultats de laboratoire annoncés (dont positifs),59 (33),12 (2)
Enfants séparés — crèche / communauté,0/0,0/0
Accompagnants au CTE,153,6
Personnels de première ligne (PPL),9,5
Membres des ménages et communautés,58,0
EDS appuyés (SMSPS),5,0
