Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5365,2426,"45,2%",39,16,12,28
Ituri Adja,11,1,"9,1%","","","",0
Ituri Aru,8,6,"75,0%","","","",0
Ituri Ariwara,8,2,"25,0%","","","",0
Ituri Aungba,12,5,"41,7%","","","",0
Ituri Bambu,176,39,"22,2%",5,3,"",3
Ituri Boga,2,2,"100,0%","","","",0
Ituri Bunia,1488,464,"31,2%",5,2,"",2
Ituri Damas,30,9,"30,0%","","","",0
Ituri Drodro,15,7,"46,7%","","","",0
Ituri Fataki,78,30,"38,5%",1,0,"",0
Ituri Gethy,7,3,"42,9%",1,1,"",1
Ituri Kambala,2,0,"0,0%","","","",0
Ituri Kilo,33,12,"36,4%","","","",0
Ituri Komanda,113,75,"66,4%",6,5,"",5
Ituri Lita,242,121,"50,0%",5,0,"",0
Ituri Logo,13,5,"38,5%","","","",0
Ituri Lolwa,25,7,"28,0%","","","",0
Ituri Mahagi,4,1,"25,0%","","","",0
Ituri Mambasa,17,7,"41,2%","","","",0
Ituri Mandima,41,23,"56,1%",3,2,"",2
Ituri Mangala,290,141,"48,6%",1,1,"",1
Ituri Mongbwalu,634,290,"45,7%",2,0,"",0
Ituri Nia-Nia,226,115,"50,9%","","","",0
Ituri Nizi,707,273,"38,6%",7,1,"",1
Ituri Nyankunde,125,36,"28,8%",1,1,"",1
Ituri Rimba,11,4,"36,4%","","","",0
Ituri Rwampara,987,345,"35,0%",2,0,"",0
Ituri Tchomia,60,25,"41,7%","","","",0
Ituri A ventiler,NA,378,NA,0,0,12,12
Nord-Kivu,1039,681,"65,5%",39,20,2,22
Nord-Kivu Beni,176,132,"75,0%",13,10,1,11
Nord-Kivu Biena,9,4,"44,4%",2,1,1,2
Nord-Kivu Butembo,208,144,"69,2%",4,2,"",2
Nord-Kivu Goma,1,0,"0,0%","","","",0
Nord-Kivu Kalunguta,18,9,"50,0%",1,1,"",1
Nord-Kivu Katwa,457,296,"64,8%",12,5,"",5
Nord-Kivu Kayna,1,0,"0,0%","","","",""
Nord-Kivu Kyondo,23,15,"65,2%",2,0,"",0
Nord-Kivu Lubero,6,4,"66,7%","","","",0
Nord-Kivu Mabalako,10,7,"70,0%",2,1,"",1
Nord-Kivu Manguredjipa,3,2,"66,7%","","","",0
Nord-Kivu Masereka,15,6,"40,0%","","","",0
Nord-Kivu Musienene,94,50,"53,2%",2,0,"",0
Nord-Kivu Mutwanga,2,2,"100,0%","","","",0
Nord-Kivu Oicha,9,6,"66,7%",1,0,"",0
Nord-Kivu Vuhovi,7,4,"57,1%","","","",0
Haut-Uélé,253,106,"41,9%",4,0,1,1
Haut-Uélé Boma Mangbetu,29,14,"48,3%","","","",0
Haut-Uélé Gombari,3,1,"33,3%","","","",0
Haut-Uélé Isiro,92,37,"40,2%",0,0,1,1
Haut-Uélé Pawa,43,22,"51,2%",3,0,"",0
Haut-Uélé Rungu,2,1,"50,0%","","","",0
Haut-Uélé Wamba,84,31,"36,9%",1,0,"",0
Tshopo,22,9,"40,9%",0,0,0,0
Tshopo Bafwasende,2,0,"0,0%","","","",0
Tshopo Kabondo,4,1,"25,0%","","","",0
Tshopo Lubunga,1,0,"0,0%","","","",0
Tshopo Makiso-Kisangani,10,5,"50,0%","","","",0
Tshopo Mangobo,3,2,"66,7%","","","",0
Tshopo Tshopo,1,0,"0,0%","","","",0
Tshopo Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Sud-Kivu Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Bas Uélé Buta,1,1,"100,0%","","","",0
Bas Uélé Viadana,1,0,"0,0%","","","",0
Bas Uélé Ganga,2,2,"100,0%","","","",0
Total,6686,3226,"48,3%",82,36,15,51
