Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,55,5461,2 481,"45,4%","28/36 (77,8 %)"
Nord-Kivu,27,1093,709,"64,9%","16/34 (47,0 %)"
Haut-Uélé,2,258,107,"41,5%","6/13 (46,1 %)"
Tshopo,2,24,9,"37,5%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,4,3,"75,0%","3/11(27,3%)"
Total,86,6 843,3 310,"48,4%","61/151 (40,4 %)"
