Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5326,2398,"45,0%",49,15,5,20
Adja,11,1,"9,1%","","","",0
Aru,8,6,"75,0%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,171,36,"21,1%","","","",0
Boga,2,2,"100,0%","","","",0
Bunia,1483,462,"31,2%",12,6,"",6
Damas,30,9,"30,0%","","","",0
Drodro,15,7,"46,7%","","","",0
Fataki,77,30,"39,0%","","","",0
Gethy,6,2,"33,3%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,33,12,"36,4%",1,0,"",0
Komanda,107,70,"65,4%",3,0,"",0
Lita,237,121,"51,1%",3,0,"",0
Logo,13,5,"38,5%","","","",0
Lolwa,25,7,"28,0%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,38,21,"55,3%","","","",0
Mangala,289,140,"48,4%",2,0,"",0
Mongbwalu,632,290,"45,9%",8,2,"",2
Nia-Nia,226,115,"50,9%",5,2,"",2
Nizi,700,272,"38,9%",12,5,"",5
Nyankunde,124,35,"28,2%","","","",0
Rimba,11,4,"36,4%","","","",0
Rwampara,985,345,"35,0%",3,0,"",0
Tchomia,60,25,"41,7%","","","",0
A ventiler,NA,366,NA,NA,NA,5,5
Nord-Kivu,1000,659,"65,9%",31,17,4,21
Beni,163,121,"74,2%",6,4,2,6
Biena,7,2,"28,6%",5,1,"",1
Butembo,204,142,"69,6%",7,4,"",4
Goma,1,0,"0,0%","","","",0
Kalunguta,17,8,"47,1%","","","",0
Katwa,445,291,"65,4%",5,3,2,5
Kayna,1,0,"0,0%","","","",""
Kyondo,21,15,"71,4%",4,3,"",3
Lubero,6,4,"66,7%",1,0,"",0
Mabalako,8,6,"75,0%",1,1,"",1
Manguredjipa,3,2,"66,7%","","","",0
Masereka,15,6,"40,0%",2,1,"",1
Musienene,92,50,"54,3%","","","",0
Mutwanga,2,2,"100,0%","","","",0
Oicha,8,6,"75,0%","","","",0
Vuhovi,7,4,"57,1%","","","",0
Haut-Uélé,249,105,"42,2%",2,0,0,0
Boma Mangbetu,29,14,"48,3%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,92,36,"39,1%",2,0,"",0
Pawa,40,22,"55,0%","","","",0
Rungu,2,1,"50,0%","","","",0
Wamba,83,31,"37,3%","","","",0
Tshopo,22,9,"40,9%",0,0,0,0
Bafwasende,2,0,"0,0%","","","",0
Kabondo,4,1,"25,0%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,10,5,"50,0%","","","",0
Mangobo,3,2,"66,7%","","","",0
Tshopo,1,0,"0,0%","","","",0
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",0
Ganga,2,2,"100,0%","","","",0
Total,6604,3175,"48,1%",82,32,9,41
