Province,Nombre de nouveaux contacts n,Nombre de nouveaux contacts %,Nombre de contacts devenus suspects n,Nombre de contacts devenus suspects %,Nombre de contacts sorties au 21 jours n,Nombre de contacts sorties au 21 jours %
Ituri,349,"70,1%",0,"0,0%",61,"41,2%"
Nord-Kivu,149,"29,9%",3,"100,0%",87,"58,8%"
Total,498,"100,0%",3,"100,0%",148,"100,0%"
