Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,97,340,8,445
Alertes investiguées,97,340,8,445
Taux d'investigation,"100,0%","100,0%","100,0%","100,0%"
Alertes validées,"72 (74,2%)","40 (11,8%)","7 (87,5%)",119
