VARIABLES,TOTAL
Voyageurs passés par le PoE/PoC,15 504
Voyageurs screenés,15 504
Voyageurs ayant lavés les mains,9 440
Voyageurs sensibilisés sur la MVE,15 242
Contacts listés,0
Alertes remontées,0
