Indicators,Bunia,Rwampara,Nyankunde,Mongbwalu,Nizi,Lita,Bambu,Fataki,Total
Report of alerts (17/05),3,7,0,0,0,0,ND,ND,10
New alerts (18/05),13,23,4,11,1,2,ND,ND,54
Total alerts for the day (18/05),16,30,4,11,1,2,ND,ND,64
Living alerts,10,20,3,9,1,2,ND,ND,45
Deceased alerts,6,10,1,2,0,0,ND,ND,19
Investigated alerts,16,22,4,9,1,2,ND,ND,54
Non-investigated alerts,0,0,0,9,0,0,ND,ND,9
Validated alerts,16,21,4,9,1,2,ND,ND,53
Invalidated alerts,0,1,0,2,0,0,ND,ND,3
Suspected cases collected,10,21,4,2,0,0,ND,ND,37
Isolated suspected cases,9,46,3,9,0,2,ND,ND,69
Non-isolated suspected cases,1,0,0,0,1,0,ND,ND,2
