DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,18,2,20,17,1,1,0,18,9
Bas Uélé,22,2,24,1,2,21,0,3,0
Ituri,985,80,1065,178,78,457,1,256,151
Nord-Kivu,1 120,64,1184,107,60,991,3,167,83
Sud-Kivu,3,0,3,2,0,1,0,2,0
Tshopo,148,1,149,7,1,127,0,8,3
Total Général,2296,149,2 445,312,142,1598,4,454,246
