Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés (24h)
Ituri,460,70,"15,2%","17 sur 36 (47,2 %)",36
Nord-Kivu,25,15,"60,0%","7 sur 34 (20,6 %)",0
Sud-Kivu,3,1,"33,3%","1 sur 34 (2,9 %)",0
Total,488,86,"17,6%","25 sur 104 (24,0 %)",36
