Indicateurs,Résultats
Proportion de PoC activés,"78,1% (43/55)"
Nombre des voyageurs passés,62 104
% des voyageurs screenés,"96,0%"
% des voyageurs ayant lavé les mains,"93,8%"
% des voyageurs sensibilisés,"91,0%"
Nombre d’alertes notifiées,4
% d’alertes investiguées ou corps sans vie swabé dans 24h,"100,0%"
Nombre d'alertes validées,4
% de résultats disponibles dans 24h,"75,0%"
Nombre d’alertes transférées au CT/CTE ou pour EDS,4
Nombre de contacts interceptés ce jour,0
