Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,60,5164,2 342,"45,4%","28/36 (77,8 %)"
Nord-Kivu,25,913,614,"67,3%","15/34 (44,1 %)"
Haut-Uélé,5,236,103,"43,6%","6/13 (46,1 %)"
Tshopo,2,22,9,"40,9%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,4,3,"75,0%","3/11(27,3%)"
Total,92,6 342,3 072,"48,4%","60/151 (39,7 %)"
