Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"24 (85,7%)",1 (100%)
Cas confirmés en cours de suivi,"95 (67,4%)",6 (100 %)
Nouveaux cas suspects,"30 (45,5%)",1 (100 %)
Cas suspects en cours de suivi,"156 (95,1%)",8 (100 %)
Résultats de laboratoire annoncés (dont positifs),62 (20),7 (2)
Enfants séparés — crèche / communauté,1/0,0/0
Accompagnants au CTE,197,5
Personnels de première ligne (PPL),32,5
Membres des ménages et communautés,40,0
EDS appuyés (SMSPS),7,0
