DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,11,3,14,11,3,0,0,14,10
Bas Uélé,14,1,15,4,1,9,0,5,1
Ituri,660,66,726,197,59,297,59,256,118
Nord-Kivu,1 014,55,1069,98,48,683,7,146,63
Sud-Kivu,ND,ND,ND,ND,ND,ND,ND,ND,ND
Tshopo,202,0,202,10,0,192,0,10,8
Total Général,1901,125,2 026,320,111,1181,66,431,200
