Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés (24h)
Ituri,738,153,"20,7%","20 sur 36 (55,5 %)",21
Nord-Kivu,67,38,"56,7%","10 sur 34 (29,4 %)",5
Sud-Kivu,3,1,"33,3%","1 sur 34 (2,9 %)",0
Total,808,192,"23,8%","31 sur 104 (29,8 %)",26
