Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4257,1878,"44,1%",63,22,18,40
Ituri Adja,11,1,"9,1%","","","",0
Ituri Aru,7,6,"85,7%","","","",0
Ituri Ariwara,7,2,"28,6%","","","",0
Ituri Aungba,11,5,"45,5%","","","",0
Ituri Bambu,109,25,"22,9%","","","",0
Ituri Boga,1,1,"100,0%","","","",0
Ituri Bunia,1174,358,"30,5%",17,6,"",6
Ituri Damas,25,9,"36,0%",2,0,"",0
Ituri Drodro,13,6,"46,2%","","","",0
Ituri Fataki,69,30,"43,5%",5,0,"",0
Ituri Gethy,4,1,"25,0%","","","",0
Ituri Kambala,2,0,"0,0%","","","",0
Ituri Kilo,31,12,"38,7%","","","",0
Ituri Komanda,48,32,"66,7%","","","",0
Ituri Lita,181,102,"56,4%",8,4,"",4
Ituri Logo,11,5,"45,5%","","","",0
Ituri Lolwa,15,4,"26,7%","","","",0
Ituri Mahagi,4,1,"25,0%","","","",0
Ituri Mambasa,14,7,"50,0%","","","",0
Ituri Mandima,23,14,"60,9%","","","",0
Ituri Mangala,162,92,"56,8%",6,4,"",4
Ituri Mongbwalu,590,282,"47,8%",5,0,"",0
Ituri Nia-Nia,170,100,"58,8%",6,4,"",4
Ituri Nizi,539,240,"44,5%",5,1,"",1
Ituri Nyankunde,121,35,"28,9%",1,0,"",0
Ituri Rimba,9,4,"44,4%","","","",0
Ituri Rwampara,856,331,"38,7%",7,3,"",3
Ituri Tchomia,50,25,"50,0%",1,0,"",0
Ituri A ventiler,NA,148,NA,NA,NA,18,18
Nord-Kivu,607,428,"70,5%",11,7,4,11
Nord-Kivu Beni,93,70,"75,3%",2,2,"",2
Nord-Kivu Butembo,112,95,"84,8%",1,1,2,3
Nord-Kivu Goma,1,0,"0,0%","","","",0
Nord-Kivu Kalunguta,13,6,"46,2%",1,1,"",1
Nord-Kivu Katwa,291,198,"68,0%",6,3,2,5
Nord-Kivu Kyondo,15,12,"80,0%","","","",0
Nord-Kivu Lubero,1,1,"100,0%","","","",0
Nord-Kivu Mabalako,2,1,"50,0%","","","",0
Nord-Kivu Masereka,7,4,"57,1%","","","",0
Nord-Kivu Musienene,62,35,"56,5%","","","",0
Nord-Kivu Oicha,5,4,"80,0%","","","",0
Nord-Kivu Vuhovi,5,2,"40,0%",1,0,"",0
Haut-Uélé,139,63,"45,3%",1,0,1,1
Haut-Uélé Boma Mangbetu,22,8,"36,4%","","","",0
Haut-Uélé Gombari,1,1,"100,0%","","","",0
Haut-Uélé Isiro,42,20,"47,6%","","",1,1
Haut-Uélé Pawa,20,14,"70,0%",1,0,"",0
Haut-Uélé Rungu,1,0,"0,0%","","","",0
Haut-Uélé Wamba,53,20,"37,7%","","","",0
Tshopo,14,7,"50,0%",1,1,0,1
Tshopo Bafwasende,1,0,"0,0%","","","",0
Tshopo Kabondo,3,2,"66,7%","","","",0
Tshopo Lubunga,1,0,"0,0%","","","",0
Tshopo Makiso-Kisangani,5,4,"80,0%",1,1,"",1
Tshopo Mangobo,2,1,"50,0%","","","",0
Tshopo Tshopo,1,0,"0,0%","","","",""
Tshopo Wanie-Rukula,1,0,"0,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Sud-Kivu Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,1,1,"100,0%",0,0,0,0
Bas Uélé Buta,1,1,"100,0%","","","",0
Total,5021,2378,"47,4%",76,30,23,53
