Provinces,Zones de santé,Nbre de cas suspects,Nbre de décès probable**,Nbre de cas Confirmés,Nbre de contacts
Ituri,Mongbwalu,322,84,14,176
Ituri,Rwampara,193,51,31,621
Ituri,Bunia,166,34,15,290
Ituri,Nyankunde,38,6,11,340
Ituri,BAMBU,2,0,1,176
Ituri,Nizi,3,1,1,ND
Ituri,Kilo Mission,1,0,1,ND
Ituri,Echantillons sans fiche,0,0,4,0
Nord-Kivu,Goma,0,0,1,ND
Nord-Kivu,Katwa,13,0,2,ND
Nord-Kivu,Butembo,7,0,1,ND
Sud-Kivu,Miti Murhesa,1,0,1,ND
Total,Total,746,176,83,1603
