Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,798,141,ND,ND,939
Patients au lit (J-1),543,177,ND,ND,720
Total admissions (24 h),70,38,ND,ND,108
Total admissions,613,215,ND,ND,828
Sorties décédés,17,1,ND,ND,18
Sorties Non-cas,30,33,ND,ND,63
Sorties Guéris,3,0,ND,ND,3
Sorties Evadés,10,0,ND,ND,10
Sorties Transférés à l'HGR,0,0,ND,ND,0
Total sorties (24 h),60,34,ND,ND,94
Patients en isolement (fin J),553,181,ND,ND,734
dont confirmés,275,20,ND,ND,295
dont suspects,278,161,ND,ND,439
Taux d'occupation,"69,3 %","128,4 %",ND,ND,"78,2 %"
