Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions,"6 / 15 (40,0 %)",3 / 3 (100 %)
Cas confirmés en cours de suivi,"132 / 188 (70,2 %)",7 / 7 (100 %)
Nouveaux cas suspects,"16 / 32 (50,0 %)",9 / 9 (100 %)
Cas suspects en cours de suivi,"113 / 117 (96,6 %)",10 / 10 (100 %)
Résultats de laboratoire annoncés (dont positifs),70 (7),3 (3)
Enfants séparés — crèche / communauté,0 / 25,0 / 0
Accompagnants au CTE,164,10
Personnels de première ligne (PPL),22,0
Membres des ménages et communautés,48,0
EDS appuyés (SMSPS),8,ND
