Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,9 731,7 142,"73,4 %"
Nord-Kivu,2 172,2 001,"92,0 %"
Tshopo,147,92,"62,5 %"
Haut-Uélé,ND,ND,ND
Sud-Kivu (fin de suivi),0,0,NA
Total,12 050,9 235,"76,6 %"
