Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions,"10 / 28 (35,7 %)",4 / 4 (100 %)
Cas confirmés en cours de suivi,"128 / 181 (70,7 %)",7 / 7 (100 %)
Nouveaux cas suspects,"31 / 47 (66,0 %)",4 / 4 (100 %)
Cas suspects en cours de suivi,"97 / 109 (89,0 %)",23 / 23 (100 %)
Résultats de laboratoire annoncés (dont positifs),52 (12),11 (4)
Enfants séparés — crèche / communauté,1 / 52,0 / 0
Accompagnants au CTE,301,5
Personnels de première ligne (PPL),30,0
Membres des ménages et communautés,86,0
EDS appuyés (SMSPS),17,ND
