Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,3 912,1 702,"43,5%","28/36 (77,8 %)",98
Nord-Kivu,528,369,"69,9%","12/34 (35,3 %)",18
Haut-Uélé,115,51,"44,3%","6/13 (46,2 %)",2
Tshopo,9,5,"55,6%","6/23 (26,1 %)",0
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Total,4 566,2 128,"46,6%","53/140 (37,9 %)",118
