Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Ensemble
Patients au lit (J-1),313,56,13,382
Total admissions (24h),60,12,4,76
Sorties (24h) Décédés (Suspects/Conf.),7,0,0,7
Sorties (24h) Non-cas,21,0,0,21
Sorties (24h) Guéris,10,0,0,10
Sorties (24h) Évadés (Suspects/Conf.),1,0,0,1
Sorties (24h) Transférés à l'HGR,0,0,0,0
Sorties (24h) Total sorties,39,0,0,39
Patients en isolement (Fin J),334,68,17,419
dont confirmés (NC+AC),193,27,0,220
dont suspects,141,41,17,199
Taux d'occupation global,"89,8%","66,0%","38,6%","80,7%"
