Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),16,0,1,0,2,19
Nouvelles alertes reçues,540,703,5,15,8,1271
Total alertes du jour,556,703,6,15,10,1290
Alertes investiguées,344,687,6,15,10,1062
Taux d'investigation (24 h),"61,9 %","97,7%","100,0 %","100,0 %","100,0 %","82,3%"
Alertes validées — vivantes,126,57,0,2,2,187
Alertes validées — décédées (comm.),56,40,6,0,0,102
Total cas suspects du jour,182,97,6,2,2,289
