Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,49,5326,2 398,"45,0%","28/36 (77,8 %)"
Nord-Kivu,31,1000,659,"65,9%","16/34 (47,0 %)"
Haut-Uélé,2,249,105,"42,2%","6/13 (46,1 %)"
Tshopo,0,22,9,"40,9%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,4,3,"75,0%","3/11(27,3%)"
Total,82,6 604,3 175,"48,1%","61/151 (40,4 %)"
