Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),1,20,40,18,ND,79
Nouvelles alertes reçues,865,957,5,31,ND,1 858
Total alertes du jour,866,977,45,49,ND,1 937
Alertes investiguées,641,948,4,24,ND,1 617
Taux d'investigation (24 h),"74,0%","97,0%","8,9%","48,9%",ND,"83,5%"
Alertes validées — vivantes,135,44,2,8,ND,189
Alertes validées — décédées (comm.),63,20,1,1,ND,85
Total cas suspects du jour,198,64,3,9,ND,274
