Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"98,3 % (59/60)",100 % (18/18),"55,5 % (5/9)",85 % (17/20),"54,5 % (6/11)","22,2 % (4/18)","80,1 % (109/136)"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)",NA,NA,NA,NA,ND,"9,1 % (1/11)"
Nombre de personnes passées aux PoE/PoC,150 290,90 879,10 657,2 925,9 080,793,264 624
% des voyageurs screenés,"98,0 %","97,77 %","98,4 %","99,5 %","97,0 %",100 %,"97,9 %"
% des voyageurs ayant lavé les mains,"97,2 %","97,77 %","98,4 %","97,7 %","97,0 %",100 %,"97,5 %"
% des voyageurs sensibilisés,"99,5 %","97,77 %",100 %,100 %,"97,0 %","78,8 %","98,8 %"
Nombre d’alertes notifiées,5,3,0,3,0,1,12
Nombre d’alertes vivantes validées (cas suspects),4,1,0,3,0,1,9
Nombre de corps sans vie interceptés ce jour,1,0,0,0,0,0,1
% des cas suspects transférés au CT/CTE,100 % (4/4),100 % (1/1),0 %,"66,6 % (2/3)",0 %,0 % (0/1),"77,8 % (7/9)"
% des corps sans vie swabés/sécurisés,0 % (0/1),0 %,0 %,0 %,0 %,0 %,0 % (0/1)
% des cas suspects investigués dans 24 h,100 % (5/5),100 % (3/3),0 %,100 % (3/3),0 %,100 % (1/1),100 % (12/12)
