Indicateurs,Résultats
Proportion de PoC activés,"29,0% (16/55)"
Nombre des voyageurs passés,23 467
% des voyageurs screenés,"99,2%"
% des voyageurs ayant lavé les mains,"98,8%"
%des voyageurs sensibilisés,"82,6%"
Nombre d’alertes notifiées,5
Nombre d’alertes validées,5
% de résultats disponible dans 24h,0%
Nombre d’alertes transférées au CT/CTE ou pour EDS,0
Nombre de contacts interceptés ce jour,0
