Zone de santé,Cas confirmés,Guéris,En hospitalisation,Décès
Bunia,35,19,1,14
Rwampara,33,25,1,7
Nia-Nia,22,5,12,5
Mongbwalu,17,7,1,9
Nyankunde,14,11,1,2
Lita,4,1,2,1
Mangala,4,2,1,1
Nizi,3,0,0,3
Logo,3,0,3,0
Bambu,2,2,0,0
Kilo,2,1,1,0
Damas,1,0,0,1
"Total — létalité 30,7 %",140,71,23,43
