Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,4607,2 065,"44,8%","28/36 (77,8 %)",35
Nord-Kivu,714,490,"68,6%","13/34 (38,2 %)",16
Haut-Uélé,173,77,"44,5%","6/13 (46,1 %)",4
Tshopo,15,8,"53,3%","7/23 (30,4 %)",0
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Bas Uélé,2,1,"50,0%","2/11(18,2%)",0
Total,5 514,2 642,"47,9%","57/151 (37,7 %)",55
