Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,393,436,11,840
Alertes investiguées,393,436,10,839
Taux d'investigation,"100,0%","100,0%","90,9%","99,9%"
Alertes validées Vivantes,125,41,5,171
Alertes validées Décédées,21,9,0,30
Total des cas suspects du jour,146,50,5,201
