DPS,Alertes Reçues Vivants,Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,21,2,23,16,2,5,0,18,13
Bas Uélé,27,0,27,3,0,24,0,3,0
Ituri,657,58,715,102,58,355,0,160,83
Nord-Kivu,743,33,776,68,32,629,1,100,38
Sud-Kivu,ND,ND,NA,ND,ND,ND,ND,ND,ND
Tshopo,86,1,87,4,1,68,1,5,2
Total Général,1534,94,1 628,193,93,1081,2,286,136
