Zones de santé,Suivi journalier Report du 19/05/2026,Suivi journalier Nouveau1x contacts le 20/05/2026,Suivi journalier Contact à suivre ce jour,Suivi journalier Contacts vus,Suivi journalier Sorties 21 Jrs,Suivi journalier Devenus Suspects,Taux de suivi,Total non vus,Raison de non vus Simple Absence,Raison de non vus Perdus de vue (≥72 heures),Raison de non vus Jamais vus,Raison de non vus Refus,Raison de non vus Déplacés,Raison de non vus Reco n'est pas passé,Reste à suivre le jour suivant
Bunia,203,0,203,0,0,0,0%,203,0,0,0,0,0,200,203
Rwampara,335,286,621,83,0,0,14,538,0,0,0,0,0,538,621
Nyankunde,133,0,133,0,0,0,0%,133,0,0,0,0,0,133,133
Mongbwalu,176,0,176,0,0,0,0%,176,0,0,0,0,0,176,176
Bambu,0,128,128,"","","",0%,128,0,0,0,0,0,128,128
Total,847,414,1261,83,0,0,7%,1178,0,0,0,0,0,1178,1261
