Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,4020,1 745,"43,4%","28/36 (77,8 %)",41
Nord-Kivu,569,404,"71,0%","12/34 (35,3 %)",16
Haut-Uélé,123,57,"46,3%","6/13 (46,1 %)",4
Tshopo,11,6,"54,5%","7/23 (30,4 %)",1
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Bas Uélé,1,1,"100,0%","1/11(9,1%)",0
Total,4 727,2 214,"46,8%","55/151 (36,4 %)",62
