Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),10,65,ND,0,5,80
Nouvelles alertes reçues,479,571,ND,20,7,1 077
Total alertes du jour,489,636,ND,20,12,1 157
Alertes investiguées,421,571,ND,5,12,1 009
Taux d'investigation (24 h),"86,1%","89,8%",ND,"25,0%","100,0%","87,2%"
Alertes validées — vivantes,101,42,ND,3,4,150
Alertes validées — décédées (comm.),52,24,ND,1,0,77
Total cas suspects du jour,153,66,ND,4,4,227
