N°,Défis,Impact,Actions requises
1,"Résistance communautaire aux EDS et aux prélèvements post-mortem, et insécurité visant les équipes : agressions d'équipes dans les zones d'enterrement du Nord-Kivu et non-accessibilité du cimetière de Bundji","Retard de confirmation, sous-estimation des cas et poursuite des chaînes de transmission autour des décès","Intensifier la CREC, impliquer les leaders religieux et communautaires, sécuriser les équipes EDS, étendre la couverture en équipes ECUMER et doter en sacs mortuaires adultes et EPI ; rendre opérationnel le cimetière de Bundji"
2,"Non-paiement et démotivation des prestataires : grève avec manifestation des hygiénistes au CTE CME de Bunia (reprise timide), non-paiement d'une partie des prestataires du Nord-Kivu dont les policiers commis à la garde des ESS, grève annoncée du pilier PEC psychosociale à Beni, démotivation signalée en Tshopo et au Sud-Kivu",Interruption ou ralentissement des admissions au CTE et des activités de riposte,"Régulariser les états de paie (10 ZS validées pour juillet au Nord-Kivu), harmoniser le barème de prestation et sécuriser un financement dédié"
3,Performance du suivi des contacts insuffisante,Chaînes de transmission non interrompues,"Former, déployer et motiver les relais communautaires (RECO) ; supervision renforcée ; descente urgente à Fataki, Bunia et Mangala ; consolider le redressement national observé (77,7 % contre 75,3 % la veille)"
4,"Insuffisance et immobilisation des moyens d'évacuation : 4 des 29 ambulances de l'Ituri en panne et 1 refus de transfert à Bambu, absence d'ambulance dans 7 ZS du Nord-Kivu et de corbillards dans l'ensemble des ZS, manque de moyen de transport pour la supervision des PoC de la Tshopo","Retards de transfert et d'isolement, refus de transfert","Réparer et prépositionner les ambulances (dont aux PoE/PoC), doter les ZS en corbillards, déployer des CT par ZS"
5,"Insuffisance des intrants PCI (EPI, chlore) et couverture limitée du triage : 54 ménages de cas décontaminés sur 95 en Ituri (41 %) et 1 sur 22 à Katwa ; 6 % des ESS de la Tshopo (5/81) et 38,1 % de celles du Nord-Kivu (109/286) disposent d'un circuit de triage unidirectionnel",Risque élevé d'infections nosocomiales (141 cas PPL dont 43 décès en Ituri ; 14 PPL dont 3 décès au Nord-Kivu ; 4 agents de santé parmi les confirmés du Haut-Uélé),"Approvisionnement urgent en EPI et en chlore, mise en place et formation des équipes de décontamination des aires de santé hotspot, dotation en kits de triage et d'isolement et en kits ménages de remplacement"
6,"Extension géographique : deux nouvelles zones de santé atteintes en 24 heures — Gombari (Haut-Uélé) et Bafwasende (Tshopo) — toutes deux liées à l'axe Niania ; seuls 9 des 38 PoE/PoC prioritaires du Haut-Uélé (23,7 %) et 4 des 19 de la Tshopo (21,1 %) sont activés","Risque de diffusion urbaine, fluviale et transfrontalière",Activer les 29 PoE/PoC restants du Haut-Uélé et les 15 de la Tshopo ; appliquer la fermeture temporaire de l'axe Niania–Wamba et le centre de quarantaine de 21 jours ; renforcer la coordination transfrontalière
7,"Capacités diagnostiques décentralisées insuffisantes : laboratoires de proximité en cours d'installation (Rwampara, Fataki, Bambu-mine, Boga et Mambasa) ; au Haut-Uélé, machine installée à Isiro et 7 Radi One acquis mais analyses non décentralisées au niveau zonal","Délais de confirmation longs, transmission non détectée","Accélérer le déploiement des capacités décentralisées, financer le transport des échantillons et doter les sites en onduleurs et véhicules de prélèvement"
8,Insuffisance des ressources financières et non-respect des engagements de certains partenaires dans les ZS du Nord-Kivu,Limitation de la mise en œuvre des piliers,"Mobilisation urgente des ressources, plaidoyer auprès des partenaires et partage des informations financières des PTF"
9,"Insécurité et accès limité (CODECO, ADF) ; attaques récurrentes des équipes de réponse dans certaines aires de santé du Nord-Kivu et refus d'intervention des agents de sécurité sur les sites gérés par MSF",Restriction des opérations,Renforcer la coordination sécuritaire et l'accès humanitaire ; cartographier les aires de santé calmes et à risque ; tenir une séance de travail avec MSF sur la sécurisation des sites
10,Continuité des services essentiels (CSSE) compromise,Augmentation de la mortalité indirecte (non-Ebola) et perte de visibilité sur l'offre de soins,"Mise en œuvre effective de la gratuité des soins, renforcement du CSSE et réintégration systématique de la rubrique dans les présentations provinciales"
11,Capacité d'accueil insuffisante des CTE/CT,"Engorgement des structures, retards d'isolement et remontée tardive des données","Accélérer les travaux d'extension des CTE de Nizi, Lita, Fataki, Nia-Nia et Logo, construire les CT manquants (dont un CTE de 10 lits à Kisangani) et doter les CTE/CT de kits Starlink"
