Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"96,7 % (58/60)",100 % (18/18),"55,6 % (5/9)","71,4 % (5/7)","72,7 % (8/11)",ND,"89,5 % (94/105)"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)",100 %,NA,35 % (7/20),"54,5 % (6/11)",ND,ND
Nombre de personnes passées aux PoE/PoC,145 866,89 286,9 668,5 177,11 783,ND,261 780
% des voyageurs screenés,"97,8 %","98,0 %","98,4 %","99,3 %","98,8 %",ND,"98,0 %"
% des voyageurs ayant lavé les mains,"97,5 %","98,0 %","98,4 %","99,1 %","98,7 %",ND,"97,8 %"
% des voyageurs sensibilisés,"99,5 %","98,0 %",100 %,100 %,"98,7 %",ND,"99,0 %"
Nombre d’alertes notifiées,1,6,0,0,0,ND,7
Nombre d’alertes vivantes validées (cas suspects),1,4,0,0,0,ND,5
Nombre de corps sans vie interceptés ce jour,0,0,0,0,0,ND,0
% des cas suspects transférés au CT/CTE,100 % (1/1),100 % (4/4),NA,0 %,0 %,ND,100 % (5/5)
% des corps sans vie swabés/sécurisés,0 % (0/0),0 % (0/0),NA,0 %,0 %,ND,0 % (0/0)
% des cas suspects investigués dans 24 h,100 % (1/1),100 % (4/4),NA,0 %,0 %,ND,100 % (5/5)
