Suivi des alertes,Report des alertes (19/05),Nouvelles alertes (20/05),Total des alertes du jour (20/05),Alertes vivants,Alertes décédés,Alertes investiguées,Alertes non investiguées,Alertes validées,Alertes invalidées,Cas suspects prélevés,Cas suspects non prélévés,Cas suspects isolés,Cas suspects non isolés
Bunia,0,39,39,31,8,35,4,35,0,11,24,30,1
Rwampara,4,31,35,34,1,35,0,25,10,14,11,25,0
Nyankunde,0,9,9,9,0,9,0,9,0,9,0,9,0
Mongbwalu,0,9,9,6,3,8,1,8,1,7,1,6,0
