Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,4 454,2 678,"60,1%"
Nord-Kivu,738,587,"79,5%"
Sud-Kivu,226,224,"99,1%"
Total,5 418,3 489,"64,4%"
