Indicateurs,Résultats
Proportion de PoC activés,"80,0% (44/55)"
Nombre des voyageurs passés,56 294
% des voyageurs screenés,"95,0%"
% des voyageurs ayant lavé les mains,"94,8%"
% des voyageurs sensibilisés,"97,0%"
Nombre d’alertes notifiées,7
% d’alertes investiguées ou corps sans vie swabé dans 24h,"0,0%"
Nombre d'alertes validées,7
% de résultats disponibles dans 24h,0%
Nombre d’alertes transférées au CT/CTE ou pour EDS,5
Nombre de contacts interceptés ce jour,0
