Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,436,681,22,1139
Alertes investiguées,159,681,22,862
Taux d'investigation,"36,5%","100,0%","100,0%","75,7%"
Alertes validées Vivantes,119,55,10,184
Alertes validées Décédées,30,24,0,54
Total des cas suspects du jour,149,79,10,238
