Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,10 011,6 206,"62,0 %"
Nord-Kivu,2 279,2 108,"92,0 %"
Haut-Uélé,140,68,"55,5 %"
Sud-Kivu (fin de suivi),0,0,n.a.
Total,12 430,8 382,"67,4 %"
